IBOV - Carteira do Dia 18/06/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
CSNA3;SID NACIONAL;ON;600.865.451;0,365;
SLCE3;SLC AGRICOLA;ON      NM;194.217.908;0,174;
SUZB3;SUZANO S.A.;ON  ATZ NM;664.114.223;1,643;
TAEE11;TAESA;UNT     N2;218.568.234;0,370;
VIVT3;TELEF BRASIL;ON;408.343.528;0,923;
TIMS3;TIM;ON      NM;807.896.814;0,640;
TOTS3;TOTVS;ON      NM;514.122.351;0,797;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,510;
UGPA3;ULTRAPAR;ON      NM;1.087.228.062;1,196;
USIM5;USIMINAS;PNA     N1;515.117.391;0,186;
VALE3;VALE;ON      NM;4.427.123.466;13,629;
VAMO3;VAMOS;ON      NM;498.860.020;0,180;
VBBR3;VIBRA;ON      NM;1.114.613.709;1,147;
VIVA3;VIVARA S.A.;ON      NM;125.912.025;0,128;
WEGE3;WEG;ON      NM;1.482.105.837;2,930;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,159;
Quantidade Teórica Total;;;95.372.551.512;100,000
Redutor;;;16.462.832,77931518
